obs,data marking,Stat Unit eng,Stat unit cym,Meas type eng,meas type cym,obs type eng,obstype cym,obs type val,unit mult,unit of meas eng,unit of meas cym,confidentiality,empty,geog,empt,empt,Time dim it id,Time dilab eng,time dilad cym,time type,emp,statpopid,statpopeng,ststpopcym,cdid,cdiddesc,empt,empt,empt,empt,empt,empt,empt,empt,dim1id,dim1labeng,dim1labcym,dim1itid,dim1iflabeng,dim1iflabcy,istot,issubtot,Dim2id,dim2labeng,dim2labcym,dim2itid,dim2iflabeng,dim2itlabcym,istot,issubtot,Dim3id,dim3labeng,dim3labcym,dim3itid,dim3iflabeng,dim3itlabcym,istot,issubtot,Dim4id,dim4labeng,dim4labcym,dim4itid,dim4iflabeng,dim4itlabcym,istot,issubtot
32512685,,People,,Count,,,,,1,People,,,,,,,Aug-Oct 2020,Aug-Oct 2020,,Quarter,,Labour market status,Labour market status,,MGTM,,,,,,,,,,Economic Status,Economic Status,,In Employment,In Employment,,,,Age,Age,,16+,16+,,,,Sex,Sex,,People,People,,,,SA NSA,SA NSA,,Non Seasonal Adjusted,Non Seasonal Adjusted,,,
16981843,,People,,Count,,,,,1,People,,,,,,,Aug-Oct 2020,Aug-Oct 2020,,Quarter,,Labour market status,Labour market status,,MGTN,,,,,,,,,,Economic Status,Economic Status,,In Employment,In Employment,,,,Age,Age,,16+,16+,,,,Sex,Sex,,Men,Men,,,,SA NSA,SA NSA,,Non Seasonal Adjusted,Non Seasonal Adjusted,,,
15530842,,People,,Count,,,,,1,People,,,,,,,Aug-Oct 2020,Aug-Oct 2020,,Quarter,,Labour market status,Labour market status,,MGTO,,,,,,,,,,Economic Status,Economic Status,,In Employment,In Employment,,,,Age,Age,,16+,16+,,,,Sex,Sex,,Women,Women,,,,SA NSA,SA NSA,,Non Seasonal Adjusted,Non Seasonal Adjusted,,,
31173915,,People,,Count,,,,,1,People,,,,,,,Aug-Oct 2020,Aug-Oct 2020,,Quarter,,Labour market status,Labour market status,,YBSQ,,,,,,,,,,Economic Status,Economic Status,,In Employment,In Employment,,,,Age,Age,,16-64,16-64,,,,Sex,Sex,,People,People,,,,SA NSA,SA NSA,,Non Seasonal Adjusted,Non Seasonal Adjusted,,,
16203638,,People,,Count,,,,,1,People,,,,,,,Aug-Oct 2020,Aug-Oct 2020,,Quarter,,Labour market status,Labour market status,,YBSR,,,,,,,,,,Economic Status,Economic Status,,In Employment,In Employment,,,,Age,Age,,16-64,16-64,,,,Sex,Sex,,Men,Men,,,,SA NSA,SA NSA,,Non Seasonal Adjusted,Non Seasonal Adjusted,,,
14970277,,People,,Count,,,,,1,People,,,,,,,Aug-Oct 2020,Aug-Oct 2020,,Quarter,,Labour market status,Labour market status,,YBSS,,,,,,,,,,Economic Status,Economic Status,,In Employment,In Employment,,,,Age,Age,,16-64,16-64,,,,Sex,Sex,,Women,Women,,,,SA NSA,SA NSA,,Non Seasonal Adjusted,Non Seasonal Adjusted,,,
248108,,People,,Count,,,,,1,People,,,,,,,Aug-Oct 2020,Aug-Oct 2020,,Quarter,,Labour market status,Labour market status,,YCQW,,,,,,,,,,Economic Status,Economic Status,,In Employment,In Employment,,,,Age,Age,,16-17,16-17,,,,Sex,Sex,,People,People,,,,SA NSA,SA NSA,,Non Seasonal Adjusted,Non Seasonal Adjusted,,,
114868,,People,,Count,,,,,1,People,,,,,,,Aug-Oct 2020,Aug-Oct 2020,,Quarter,,Labour market status,Labour market status,,YCQZ,,,,,,,,,,Economic Status,Economic Status,,In Employment,In Employment,,,,Age,Age,,16-17,16-17,,,,Sex,Sex,,Men,Men,,,,SA NSA,SA NSA,,Non Seasonal Adjusted,Non Seasonal Adjusted,,,
133240,,People,,Count,,,,,1,People,,,,,,,Aug-Oct 2020,Aug-Oct 2020,,Quarter,,Labour market status,Labour market status,,YCRC,,,,,,,,,,Economic Status,Economic Status,,In Employment,In Employment,,,,Age,Age,,16-17,16-17,,,,Sex,Sex,,Women,Women,,,,SA NSA,SA NSA,,Non Seasonal Adjusted,Non Seasonal Adjusted,,,
3296456,,People,,Count,,,,,1,People,,,,,,,Aug-Oct 2020,Aug-Oct 2020,,Quarter,,Labour market status,Labour market status,,YCQX,,,,,,,,,,Economic Status,Economic Status,,In Employment,In Employment,,,,Age,Age,,18-24,18-24,,,,Sex,Sex,,People,People,,,,SA NSA,SA NSA,,Non Seasonal Adjusted,Non Seasonal Adjusted,,,
1674960,,People,,Count,,,,,1,People,,,,,,,Aug-Oct 2020,Aug-Oct 2020,,Quarter,,Labour market status,Labour market status,,YCRA,,,,,,,,,,Economic Status,Economic Status,,In Employment,In Employment,,,,Age,Age,,18-24,18-24,,,,Sex,Sex,,Men,Men,,,,SA NSA,SA NSA,,Non Seasonal Adjusted,Non Seasonal Adjusted,,,
1621496,,People,,Count,,,,,1,People,,,,,,,Aug-Oct 2020,Aug-Oct 2020,,Quarter,,Labour market status,Labour market status,,YCRD,,,,,,,,,,Economic Status,Economic Status,,In Employment,In Employment,,,,Age,Age,,18-24,18-24,,,,Sex,Sex,,Women,Women,,,,SA NSA,SA NSA,,Non Seasonal Adjusted,Non Seasonal Adjusted,,,
7584330,,People,,Count,,,,,1,People,,,,,,,Aug-Oct 2020,Aug-Oct 2020,,Quarter,,Labour market status,Labour market status,,EAAAA,,,,,,,,,,Economic Status,Economic Status,,In Employment,In Employment,,,,Age,Age,,25-34,25-34,,,,Sex,Sex,,People,People,,,,SA NSA,SA NSA,,Non Seasonal Adjusted,Non Seasonal Adjusted,,,
3976099,,People,,Count,,,,,1,People,,,,,,,Aug-Oct 2020,Aug-Oct 2020,,Quarter,,Labour market status,Labour market status,,EAAAB,,,,,,,,,,Economic Status,Economic Status,,In Employment,In Employment,,,,Age,Age,,25-34,25-34,,,,Sex,Sex,,Men,Men,,,,SA NSA,SA NSA,,Non Seasonal Adjusted,Non Seasonal Adjusted,,,
3608231,,People,,Count,,,,,1,People,,,,,,,Aug-Oct 2020,Aug-Oct 2020,,Quarter,,Labour market status,Labour market status,,EAAAC,,,,,,,,,,Economic Status,Economic Status,,In Employment,In Employment,,,,Age,Age,,25-34,25-34,,,,Sex,Sex,,Women,Women,,,,SA NSA,SA NSA,,Non Seasonal Adjusted,Non Seasonal Adjusted,,,
10833872,,People,,Count,,,,,1,People,,,,,,,Aug-Oct 2020,Aug-Oct 2020,,Quarter,,Labour market status,Labour market status,,EAAAD,,,,,,,,,,Economic Status,Economic Status,,In Employment,In Employment,,,,Age,Age,,35-49,35-49,,,,Sex,Sex,,People,People,,,,SA NSA,SA NSA,,Non Seasonal Adjusted,Non Seasonal Adjusted,,,
5671137,,People,,Count,,,,,1,People,,,,,,,Aug-Oct 2020,Aug-Oct 2020,,Quarter,,Labour market status,Labour market status,,EAAAE,,,,,,,,,,Economic Status,Economic Status,,In Employment,In Employment,,,,Age,Age,,35-49,35-49,,,,Sex,Sex,,Men,Men,,,,SA NSA,SA NSA,,Non Seasonal Adjusted,Non Seasonal Adjusted,,,
5162735,,People,,Count,,,,,1,People,,,,,,,Aug-Oct 2020,Aug-Oct 2020,,Quarter,,Labour market status,Labour market status,,EAAAF,,,,,,,,,,Economic Status,Economic Status,,In Employment,In Employment,,,,Age,Age,,35-49,35-49,,,,Sex,Sex,,Women,Women,,,,SA NSA,SA NSA,,Non Seasonal Adjusted,Non Seasonal Adjusted,,,
9211149,,People,,Count,,,,,1,People,,,,,,,Aug-Oct 2020,Aug-Oct 2020,,Quarter,,Labour market status,Labour market status,,EAAAG,,,,,,,,,,Economic Status,Economic Status,,In Employment,In Employment,,,,Age,Age,,50-64,50-64,,,,Sex,Sex,,People,People,,,,SA NSA,SA NSA,,Non Seasonal Adjusted,Non Seasonal Adjusted,,,
4766574,,People,,Count,,,,,1,People,,,,,,,Aug-Oct 2020,Aug-Oct 2020,,Quarter,,Labour market status,Labour market status,,EAAAH,,,,,,,,,,Economic Status,Economic Status,,In Employment,In Employment,,,,Age,Age,,50-64,50-64,,,,Sex,Sex,,Men,Men,,,,SA NSA,SA NSA,,Non Seasonal Adjusted,Non Seasonal Adjusted,,,
4444575,,People,,Count,,,,,1,People,,,,,,,Aug-Oct 2020,Aug-Oct 2020,,Quarter,,Labour market status,Labour market status,,EAAAI,,,,,,,,,,Economic Status,Economic Status,,In Employment,In Employment,,,,Age,Age,,50-64,50-64,,,,Sex,Sex,,Women,Women,,,,SA NSA,SA NSA,,Non Seasonal Adjusted,Non Seasonal Adjusted,,,
1338770,,People,,Count,,,,,1,People,,,,,,,Aug-Oct 2020,Aug-Oct 2020,,Quarter,,Labour market status,Labour market status,,EAAAJ,,,,,,,,,,Economic Status,Economic Status,,In Employment,In Employment,,,,Age,Age,,65+,65+,,,,Sex,Sex,,People,People,,,,SA NSA,SA NSA,,Non Seasonal Adjusted,Non Seasonal Adjusted,,,
778205,,People,,Count,,,,,1,People,,,,,,,Aug-Oct 2020,Aug-Oct 2020,,Quarter,,Labour market status,Labour market status,,EAAAK,,,,,,,,,,Economic Status,Economic Status,,In Employment,In Employment,,,,Age,Age,,65+,65+,,,,Sex,Sex,,Men,Men,,,,SA NSA,SA NSA,,Non Seasonal Adjusted,Non Seasonal Adjusted,,,
560565,,People,,Count,,,,,1,People,,,,,,,Aug-Oct 2020,Aug-Oct 2020,,Quarter,,Labour market status,Labour market status,,EAAAL,,,,,,,,,,Economic Status,Economic Status,,In Employment,In Employment,,,,Age,Age,,65+,65+,,,,Sex,Sex,,Women,Women,,,,SA NSA,SA NSA,,Non Seasonal Adjusted,Non Seasonal Adjusted,,,
3544564,,People,,Count,,,,,1,People,,,,,,,Aug-Oct 2020,Aug-Oct 2020,,Quarter,,Labour market status,Labour market status,,YCQY,,,,,,,,,,Economic Status,Economic Status,,In Employment,In Employment,,,,Age,Age,,16-24,16-24,,,,Sex,Sex,,People,People,,,,SA NSA,SA NSA,,Non Seasonal Adjusted,Non Seasonal Adjusted,,,
1789828,,People,,Count,,,,,1,People,,,,,,,Aug-Oct 2020,Aug-Oct 2020,,Quarter,,Labour market status,Labour market status,,YCRB,,,,,,,,,,Economic Status,Economic Status,,In Employment,In Employment,,,,Age,Age,,16-24,16-24,,,,Sex,Sex,,Men,Men,,,,SA NSA,SA NSA,,Non Seasonal Adjusted,Non Seasonal Adjusted,,,
