obs,data marking,Stat Unit eng,Stat unit cym,Meas type eng,meas type cym,obs type eng,obstype cym,obs type val,unit mult,unit of meas eng,unit of meas cym,confidentiality,empty,geog,empt,empt,Time dim it id,Time dilab eng,time dilad cym,time type,emp,statpopid,statpopeng,ststpopcym,cdid,cdiddesc,empt,empt,empt,empt,empt,empt,empt,empt,dim1id,dim1labeng,dim1labcym,dim1itid,dim1iflabeng,dim1iflabcy,istot,issubtot,Dim2id,dim2labeng,dim2labcym,dim2itid,dim2iflabeng,dim2itlabcym,istot,issubtot,Dim3id,dim3labeng,dim3labcym,dim3itid,dim3iflabeng,dim3itlabcym,istot,issubtot,Dim4id,dim4labeng,dim4labcym,dim4itid,dim4iflabeng,dim4itlabcym,istot,issubtot
32694980,,People,,Count,,,,,1,People,,,,,,,Feb-Apr 2019,Feb-Apr 2019,,Quarter,,Labour market status,Labour market status,,MGTM,,,,,,,,,,Economic Status,Economic Status,,In Employment,In Employment,,,,Age,Age,,16+,16+,,,,Sex,Sex,,People,People,,,,SA NSA,SA NSA,,Non Seasonal Adjusted,Non Seasonal Adjusted,,,
17253460,,People,,Count,,,,,1,People,,,,,,,Feb-Apr 2019,Feb-Apr 2019,,Quarter,,Labour market status,Labour market status,,MGTN,,,,,,,,,,Economic Status,Economic Status,,In Employment,In Employment,,,,Age,Age,,16+,16+,,,,Sex,Sex,,Men,Men,,,,SA NSA,SA NSA,,Non Seasonal Adjusted,Non Seasonal Adjusted,,,
15441520,,People,,Count,,,,,1,People,,,,,,,Feb-Apr 2019,Feb-Apr 2019,,Quarter,,Labour market status,Labour market status,,MGTO,,,,,,,,,,Economic Status,Economic Status,,In Employment,In Employment,,,,Age,Age,,16+,16+,,,,Sex,Sex,,Women,Women,,,,SA NSA,SA NSA,,Non Seasonal Adjusted,Non Seasonal Adjusted,,,
31389816,,People,,Count,,,,,1,People,,,,,,,Feb-Apr 2019,Feb-Apr 2019,,Quarter,,Labour market status,Labour market status,,YBSQ,,,,,,,,,,Economic Status,Economic Status,,In Employment,In Employment,,,,Age,Age,,16-64,16-64,,,,Sex,Sex,,People,People,,,,SA NSA,SA NSA,,Non Seasonal Adjusted,Non Seasonal Adjusted,,,
16462900,,People,,Count,,,,,1,People,,,,,,,Feb-Apr 2019,Feb-Apr 2019,,Quarter,,Labour market status,Labour market status,,YBSR,,,,,,,,,,Economic Status,Economic Status,,In Employment,In Employment,,,,Age,Age,,16-64,16-64,,,,Sex,Sex,,Men,Men,,,,SA NSA,SA NSA,,Non Seasonal Adjusted,Non Seasonal Adjusted,,,
14926916,,People,,Count,,,,,1,People,,,,,,,Feb-Apr 2019,Feb-Apr 2019,,Quarter,,Labour market status,Labour market status,,YBSS,,,,,,,,,,Economic Status,Economic Status,,In Employment,In Employment,,,,Age,Age,,16-64,16-64,,,,Sex,Sex,,Women,Women,,,,SA NSA,SA NSA,,Non Seasonal Adjusted,Non Seasonal Adjusted,,,
338864,,People,,Count,,,,,1,People,,,,,,,Feb-Apr 2019,Feb-Apr 2019,,Quarter,,Labour market status,Labour market status,,YCQW,,,,,,,,,,Economic Status,Economic Status,,In Employment,In Employment,,,,Age,Age,,16-17,16-17,,,,Sex,Sex,,People,People,,,,SA NSA,SA NSA,,Non Seasonal Adjusted,Non Seasonal Adjusted,,,
161112,,People,,Count,,,,,1,People,,,,,,,Feb-Apr 2019,Feb-Apr 2019,,Quarter,,Labour market status,Labour market status,,YCQZ,,,,,,,,,,Economic Status,Economic Status,,In Employment,In Employment,,,,Age,Age,,16-17,16-17,,,,Sex,Sex,,Men,Men,,,,SA NSA,SA NSA,,Non Seasonal Adjusted,Non Seasonal Adjusted,,,
177752,,People,,Count,,,,,1,People,,,,,,,Feb-Apr 2019,Feb-Apr 2019,,Quarter,,Labour market status,Labour market status,,YCRC,,,,,,,,,,Economic Status,Economic Status,,In Employment,In Employment,,,,Age,Age,,16-17,16-17,,,,Sex,Sex,,Women,Women,,,,SA NSA,SA NSA,,Non Seasonal Adjusted,Non Seasonal Adjusted,,,
3400073,,People,,Count,,,,,1,People,,,,,,,Feb-Apr 2019,Feb-Apr 2019,,Quarter,,Labour market status,Labour market status,,YCQX,,,,,,,,,,Economic Status,Economic Status,,In Employment,In Employment,,,,Age,Age,,18-24,18-24,,,,Sex,Sex,,People,People,,,,SA NSA,SA NSA,,Non Seasonal Adjusted,Non Seasonal Adjusted,,,
1725506,,People,,Count,,,,,1,People,,,,,,,Feb-Apr 2019,Feb-Apr 2019,,Quarter,,Labour market status,Labour market status,,YCRA,,,,,,,,,,Economic Status,Economic Status,,In Employment,In Employment,,,,Age,Age,,18-24,18-24,,,,Sex,Sex,,Men,Men,,,,SA NSA,SA NSA,,Non Seasonal Adjusted,Non Seasonal Adjusted,,,
1674567,,People,,Count,,,,,1,People,,,,,,,Feb-Apr 2019,Feb-Apr 2019,,Quarter,,Labour market status,Labour market status,,YCRD,,,,,,,,,,Economic Status,Economic Status,,In Employment,In Employment,,,,Age,Age,,18-24,18-24,,,,Sex,Sex,,Women,Women,,,,SA NSA,SA NSA,,Non Seasonal Adjusted,Non Seasonal Adjusted,,,
