obs,data marking,Stat Unit eng,Stat unit cym,Meas type eng,meas type cym,obs type eng,obstype cym,obs type val,unit mult,unit of meas eng,unit of meas cym,confidentiality,empty,geog,empt,empt,Time dim it id,Time dilab eng,time dilad cym,time type,emp,statpopid,statpopeng,ststpopcym,cdid,cdiddesc,empt,empt,empt,empt,empt,empt,empt,empt,dim1id,dim1labeng,dim1labcym,dim1itid,dim1iflabeng,dim1iflabcy,istot,issubtot,Dim2id,dim2labeng,dim2labcym,dim2itid,dim2iflabeng,dim2itlabcym,istot,issubtot,Dim3id,dim3labeng,dim3labcym,dim3itid,dim3iflabeng,dim3itlabcym,istot,issubtot,Dim4id,dim4labeng,dim4labcym,dim4itid,dim4iflabeng,dim4itlabcym,istot,issubtot
60.6,,People,,Percent,,,,,1,Rates,,,,,,,Aug-Oct 2020,Aug-Oct 2020,,Quarter,,Labour market status,Labour market status,,MGTM,,,,,,,,,,Economic Status,Economic Status,,In Employment,In Employment,,,,Age,Age,,16+,16+,,,,Sex,Sex,,People,People,,,,SA NSA,SA NSA,,Non Seasonal Adjusted,Non Seasonal Adjusted,,,
64.61,,People,,Percent,,,,,1,Rates,,,,,,,Aug-Oct 2020,Aug-Oct 2020,,Quarter,,Labour market status,Labour market status,,MGTN,,,,,,,,,,Economic Status,Economic Status,,In Employment,In Employment,,,,Age,Age,,16+,16+,,,,Sex,Sex,,Men,Men,,,,SA NSA,SA NSA,,Non Seasonal Adjusted,Non Seasonal Adjusted,,,
56.76,,People,,Percent,,,,,1,Rates,,,,,,,Aug-Oct 2020,Aug-Oct 2020,,Quarter,,Labour market status,Labour market status,,MGTO,,,,,,,,,,Economic Status,Economic Status,,In Employment,In Employment,,,,Age,Age,,16+,16+,,,,Sex,Sex,,Women,Women,,,,SA NSA,SA NSA,,Non Seasonal Adjusted,Non Seasonal Adjusted,,,
75.21,,People,,Percent,,,,,1,Rates,,,,,,,Aug-Oct 2020,Aug-Oct 2020,,Quarter,,Labour market status,Labour market status,,YBSQ,,,,,,,,,,Economic Status,Economic Status,,In Employment,In Employment,,,,Age,Age,,16-64,16-64,,,,Sex,Sex,,People,People,,,,SA NSA,SA NSA,,Non Seasonal Adjusted,Non Seasonal Adjusted,,,
78.54,,People,,Percent,,,,,1,Rates,,,,,,,Aug-Oct 2020,Aug-Oct 2020,,Quarter,,Labour market status,Labour market status,,YBSR,,,,,,,,,,Economic Status,Economic Status,,In Employment,In Employment,,,,Age,Age,,16-64,16-64,,,,Sex,Sex,,Men,Men,,,,SA NSA,SA NSA,,Non Seasonal Adjusted,Non Seasonal Adjusted,,,
71.92,,People,,Percent,,,,,1,Rates,,,,,,,Aug-Oct 2020,Aug-Oct 2020,,Quarter,,Labour market status,Labour market status,,YBSS,,,,,,,,,,Economic Status,Economic Status,,In Employment,In Employment,,,,Age,Age,,16-64,16-64,,,,Sex,Sex,,Women,Women,,,,SA NSA,SA NSA,,Non Seasonal Adjusted,Non Seasonal Adjusted,,,
17.25,,People,,Percent,,,,,1,Rates,,,,,,,Aug-Oct 2020,Aug-Oct 2020,,Quarter,,Labour market status,Labour market status,,YCQW,,,,,,,,,,Economic Status,Economic Status,,In Employment,In Employment,,,,Age,Age,,16-17,16-17,,,,Sex,Sex,,People,People,,,,SA NSA,SA NSA,,Non Seasonal Adjusted,Non Seasonal Adjusted,,,
15.6,,People,,Percent,,,,,1,Rates,,,,,,,Aug-Oct 2020,Aug-Oct 2020,,Quarter,,Labour market status,Labour market status,,YCQZ,,,,,,,,,,Economic Status,Economic Status,,In Employment,In Employment,,,,Age,Age,,16-17,16-17,,,,Sex,Sex,,Men,Men,,,,SA NSA,SA NSA,,Non Seasonal Adjusted,Non Seasonal Adjusted,,,
18.99,,People,,Percent,,,,,1,Rates,,,,,,,Aug-Oct 2020,Aug-Oct 2020,,Quarter,,Labour market status,Labour market status,,YCRC,,,,,,,,,,Economic Status,Economic Status,,In Employment,In Employment,,,,Age,Age,,16-17,16-17,,,,Sex,Sex,,Women,Women,,,,SA NSA,SA NSA,,Non Seasonal Adjusted,Non Seasonal Adjusted,,,
60.86,,People,,Percent,,,,,1,Rates,,,,,,,Aug-Oct 2020,Aug-Oct 2020,,Quarter,,Labour market status,Labour market status,,YCQX,,,,,,,,,,Economic Status,Economic Status,,In Employment,In Employment,,,,Age,Age,,18-24,18-24,,,,Sex,Sex,,People,People,,,,SA NSA,SA NSA,,Non Seasonal Adjusted,Non Seasonal Adjusted,,,
60.57,,People,,Percent,,,,,1,Rates,,,,,,,Aug-Oct 2020,Aug-Oct 2020,,Quarter,,Labour market status,Labour market status,,YCRA,,,,,,,,,,Economic Status,Economic Status,,In Employment,In Employment,,,,Age,Age,,18-24,18-24,,,,Sex,Sex,,Men,Men,,,,SA NSA,SA NSA,,Non Seasonal Adjusted,Non Seasonal Adjusted,,,
61.16,,People,,Percent,,,,,1,Rates,,,,,,,Aug-Oct 2020,Aug-Oct 2020,,Quarter,,Labour market status,Labour market status,,YCRD,,,,,,,,,,Economic Status,Economic Status,,In Employment,In Employment,,,,Age,Age,,18-24,18-24,,,,Sex,Sex,,Women,Women,,,,SA NSA,SA NSA,,Non Seasonal Adjusted,Non Seasonal Adjusted,,,
84.78,,People,,Percent,,,,,1,Rates,,,,,,,Aug-Oct 2020,Aug-Oct 2020,,Quarter,,Labour market status,Labour market status,,EAAAA,,,,,,,,,,Economic Status,Economic Status,,In Employment,In Employment,,,,Age,Age,,25-34,25-34,,,,Sex,Sex,,People,People,,,,SA NSA,SA NSA,,Non Seasonal Adjusted,Non Seasonal Adjusted,,,
88.22,,People,,Percent,,,,,1,Rates,,,,,,,Aug-Oct 2020,Aug-Oct 2020,,Quarter,,Labour market status,Labour market status,,EAAAB,,,,,,,,,,Economic Status,Economic Status,,In Employment,In Employment,,,,Age,Age,,25-34,25-34,,,,Sex,Sex,,Men,Men,,,,SA NSA,SA NSA,,Non Seasonal Adjusted,Non Seasonal Adjusted,,,
81.29,,People,,Percent,,,,,1,Rates,,,,,,,Aug-Oct 2020,Aug-Oct 2020,,Quarter,,Labour market status,Labour market status,,EAAAC,,,,,,,,,,Economic Status,Economic Status,,In Employment,In Employment,,,,Age,Age,,25-34,25-34,,,,Sex,Sex,,Women,Women,,,,SA NSA,SA NSA,,Non Seasonal Adjusted,Non Seasonal Adjusted,,,
85.22,,People,,Percent,,,,,1,Rates,,,,,,,Aug-Oct 2020,Aug-Oct 2020,,Quarter,,Labour market status,Labour market status,,EAAAD,,,,,,,,,,Economic Status,Economic Status,,In Employment,In Employment,,,,Age,Age,,35-49,35-49,,,,Sex,Sex,,People,People,,,,SA NSA,SA NSA,,Non Seasonal Adjusted,Non Seasonal Adjusted,,,
90.28,,People,,Percent,,,,,1,Rates,,,,,,,Aug-Oct 2020,Aug-Oct 2020,,Quarter,,Labour market status,Labour market status,,EAAAE,,,,,,,,,,Economic Status,Economic Status,,In Employment,In Employment,,,,Age,Age,,35-49,35-49,,,,Sex,Sex,,Men,Men,,,,SA NSA,SA NSA,,Non Seasonal Adjusted,Non Seasonal Adjusted,,,
80.29,,People,,Percent,,,,,1,Rates,,,,,,,Aug-Oct 2020,Aug-Oct 2020,,Quarter,,Labour market status,Labour market status,,EAAAF,,,,,,,,,,Economic Status,Economic Status,,In Employment,In Employment,,,,Age,Age,,35-49,35-49,,,,Sex,Sex,,Women,Women,,,,SA NSA,SA NSA,,Non Seasonal Adjusted,Non Seasonal Adjusted,,,
71.21,,People,,Percent,,,,,1,Rates,,,,,,,Aug-Oct 2020,Aug-Oct 2020,,Quarter,,Labour market status,Labour market status,,EAAAG,,,,,,,,,,Economic Status,Economic Status,,In Employment,In Employment,,,,Age,Age,,50-64,50-64,,,,Sex,Sex,,People,People,,,,SA NSA,SA NSA,,Non Seasonal Adjusted,Non Seasonal Adjusted,,,
