obs,data marking,Stat Unit eng,Stat unit cym,Meas type eng,meas type cym,obs type eng,obstype cym,obs type val,unit mult,unit of meas eng,unit of meas cym,confidentiality,empty,geog,empt,empt,Time dim it id,Time dilab eng,time dilad cym,time type,emp,statpopid,statpopeng,ststpopcym,cdid,cdiddesc,empt,empt,empt,empt,empt,empt,empt,empt,dim1id,dim1labeng,dim1labcym,dim1itid,dim1iflabeng,dim1iflabcy,istot,issubtot,Dim2id,dim2labeng,dim2labcym,dim2itid,dim2iflabeng,dim2itlabcym,istot,issubtot,Dim3id,dim3labeng,dim3labcym,dim3itid,dim3iflabeng,dim3itlabcym,istot,issubtot,Dim4id,dim4labeng,dim4labcym,dim4itid,dim4iflabeng,dim4itlabcym,istot,issubtot
61.42,,People,,Percent,,,,,1,Rates,,,,,,,Feb-Apr 2019,Feb-Apr 2019,,Quarter,,Labour market status,Labour market status,,MGTM,,,,,,,,,,Economic Status,Economic Status,,In Employment,In Employment,,,,Age,Age,,16+,16+,,,,Sex,Sex,,People,People,,,,SA NSA,SA NSA,,Non Seasonal Adjusted,Non Seasonal Adjusted,,,
66.22,,People,,Percent,,,,,1,Rates,,,,,,,Feb-Apr 2019,Feb-Apr 2019,,Quarter,,Labour market status,Labour market status,,MGTN,,,,,,,,,,Economic Status,Economic Status,,In Employment,In Employment,,,,Age,Age,,16+,16+,,,,Sex,Sex,,Men,Men,,,,SA NSA,SA NSA,,Non Seasonal Adjusted,Non Seasonal Adjusted,,,
56.83,,People,,Percent,,,,,1,Rates,,,,,,,Feb-Apr 2019,Feb-Apr 2019,,Quarter,,Labour market status,Labour market status,,MGTO,,,,,,,,,,Economic Status,Economic Status,,In Employment,In Employment,,,,Age,Age,,16+,16+,,,,Sex,Sex,,Women,Women,,,,SA NSA,SA NSA,,Non Seasonal Adjusted,Non Seasonal Adjusted,,,
75.99,,People,,Percent,,,,,1,Rates,,,,,,,Feb-Apr 2019,Feb-Apr 2019,,Quarter,,Labour market status,Labour market status,,YBSQ,,,,,,,,,,Economic Status,Economic Status,,In Employment,In Employment,,,,Age,Age,,16-64,16-64,,,,Sex,Sex,,People,People,,,,SA NSA,SA NSA,,Non Seasonal Adjusted,Non Seasonal Adjusted,,,
80.11,,People,,Percent,,,,,1,Rates,,,,,,,Feb-Apr 2019,Feb-Apr 2019,,Quarter,,Labour market status,Labour market status,,YBSR,,,,,,,,,,Economic Status,Economic Status,,In Employment,In Employment,,,,Age,Age,,16-64,16-64,,,,Sex,Sex,,Men,Men,,,,SA NSA,SA NSA,,Non Seasonal Adjusted,Non Seasonal Adjusted,,,
71.9,,People,,Percent,,,,,1,Rates,,,,,,,Feb-Apr 2019,Feb-Apr 2019,,Quarter,,Labour market status,Labour market status,,YBSS,,,,,,,,,,Economic Status,Economic Status,,In Employment,In Employment,,,,Age,Age,,16-64,16-64,,,,Sex,Sex,,Women,Women,,,,SA NSA,SA NSA,,Non Seasonal Adjusted,Non Seasonal Adjusted,,,
24.34,,People,,Percent,,,,,1,Rates,,,,,,,Feb-Apr 2019,Feb-Apr 2019,,Quarter,,Labour market status,Labour market status,,YCQW,,,,,,,,,,Economic Status,Economic Status,,In Employment,In Employment,,,,Age,Age,,16-17,16-17,,,,Sex,Sex,,People,People,,,,SA NSA,SA NSA,,Non Seasonal Adjusted,Non Seasonal Adjusted,,,
22.6,,People,,Percent,,,,,1,Rates,,,,,,,Feb-Apr 2019,Feb-Apr 2019,,Quarter,,Labour market status,Labour market status,,YCQZ,,,,,,,,,,Economic Status,Economic Status,,In Employment,In Employment,,,,Age,Age,,16-17,16-17,,,,Sex,Sex,,Men,Men,,,,SA NSA,SA NSA,,Non Seasonal Adjusted,Non Seasonal Adjusted,,,
26.18,,People,,Percent,,,,,1,Rates,,,,,,,Feb-Apr 2019,Feb-Apr 2019,,Quarter,,Labour market status,Labour market status,,YCRC,,,,,,,,,,Economic Status,Economic Status,,In Employment,In Employment,,,,Age,Age,,16-17,16-17,,,,Sex,Sex,,Women,Women,,,,SA NSA,SA NSA,,Non Seasonal Adjusted,Non Seasonal Adjusted,,,
61.41,,People,,Percent,,,,,1,Rates,,,,,,,Feb-Apr 2019,Feb-Apr 2019,,Quarter,,Labour market status,Labour market status,,YCQX,,,,,,,,,,Economic Status,Economic Status,,In Employment,In Employment,,,,Age,Age,,18-24,18-24,,,,Sex,Sex,,People,People,,,,SA NSA,SA NSA,,Non Seasonal Adjusted,Non Seasonal Adjusted,,,
61.03,,People,,Percent,,,,,1,Rates,,,,,,,Feb-Apr 2019,Feb-Apr 2019,,Quarter,,Labour market status,Labour market status,,YCRA,,,,,,,,,,Economic Status,Economic Status,,In Employment,In Employment,,,,Age,Age,,18-24,18-24,,,,Sex,Sex,,Men,Men,,,,SA NSA,SA NSA,,Non Seasonal Adjusted,Non Seasonal Adjusted,,,
61.82,,People,,Percent,,,,,1,Rates,,,,,,,Feb-Apr 2019,Feb-Apr 2019,,Quarter,,Labour market status,Labour market status,,YCRD,,,,,,,,,,Economic Status,Economic Status,,In Employment,In Employment,,,,Age,Age,,18-24,18-24,,,,Sex,Sex,,Women,Women,,,,SA NSA,SA NSA,,Non Seasonal Adjusted,Non Seasonal Adjusted,,,
84.51,,People,,Percent,,,,,1,Rates,,,,,,,Feb-Apr 2019,Feb-Apr 2019,,Quarter,,Labour market status,Labour market status,,EAAAA,,,,,,,,,,Economic Status,Economic Status,,In Employment,In Employment,,,,Age,Age,,25-34,25-34,,,,Sex,Sex,,People,People,,,,SA NSA,SA NSA,,Non Seasonal Adjusted,Non Seasonal Adjusted,,,
90.28,,People,,Percent,,,,,1,Rates,,,,,,,Feb-Apr 2019,Feb-Apr 2019,,Quarter,,Labour market status,Labour market status,,EAAAB,,,,,,,,,,Economic Status,Economic Status,,In Employment,In Employment,,,,Age,Age,,25-34,25-34,,,,Sex,Sex,,Men,Men,,,,SA NSA,SA NSA,,Non Seasonal Adjusted,Non Seasonal Adjusted,,,
78.69,,People,,Percent,,,,,1,Rates,,,,,,,Feb-Apr 2019,Feb-Apr 2019,,Quarter,,Labour market status,Labour market status,,EAAAC,,,,,,,,,,Economic Status,Economic Status,,In Employment,In Employment,,,,Age,Age,,25-34,25-34,,,,Sex,Sex,,Women,Women,,,,SA NSA,SA NSA,,Non Seasonal Adjusted,Non Seasonal Adjusted,,,
85.36,,People,,Percent,,,,,1,Rates,,,,,,,Feb-Apr 2019,Feb-Apr 2019,,Quarter,,Labour market status,Labour market status,,EAAAD,,,,,,,,,,Economic Status,Economic Status,,In Employment,In Employment,,,,Age,Age,,35-49,35-49,,,,Sex,Sex,,People,People,,,,SA NSA,SA NSA,,Non Seasonal Adjusted,Non Seasonal Adjusted,,,
91.25,,People,,Percent,,,,,1,Rates,,,,,,,Feb-Apr 2019,Feb-Apr 2019,,Quarter,,Labour market status,Labour market status,,EAAAE,,,,,,,,,,Economic Status,Economic Status,,In Employment,In Employment,,,,Age,Age,,35-49,35-49,,,,Sex,Sex,,Men,Men,,,,SA NSA,SA NSA,,Non Seasonal Adjusted,Non Seasonal Adjusted,,,
79.61,,People,,Percent,,,,,1,Rates,,,,,,,Feb-Apr 2019,Feb-Apr 2019,,Quarter,,Labour market status,Labour market status,,EAAAF,,,,,,,,,,Economic Status,Economic Status,,In Employment,In Employment,,,,Age,Age,,35-49,35-49,,,,Sex,Sex,,Women,Women,,,,SA NSA,SA NSA,,Non Seasonal Adjusted,Non Seasonal Adjusted,,,
72.58,,People,,Percent,,,,,1,Rates,,,,,,,Feb-Apr 2019,Feb-Apr 2019,,Quarter,,Labour market status,Labour market status,,EAAAG,,,,,,,,,,Economic Status,Economic Status,,In Employment,In Employment,,,,Age,Age,,50-64,50-64,,,,Sex,Sex,,People,People,,,,SA NSA,SA NSA,,Non Seasonal Adjusted,Non Seasonal Adjusted,,,
76.76,,People,,Percent,,,,,1,Rates,,,,,,,Feb-Apr 2019,Feb-Apr 2019,,Quarter,,Labour market status,Labour market status,,EAAAH,,,,,,,,,,Economic Status,Economic Status,,In Employment,In Employment,,,,Age,Age,,50-64,50-64,,,,Sex,Sex,,Men,Men,,,,SA NSA,SA NSA,,Non Seasonal Adjusted,Non Seasonal Adjusted,,,
68.56,,People,,Percent,,,,,1,Rates,,,,,,,Feb-Apr 2019,Feb-Apr 2019,,Quarter,,Labour market status,Labour market status,,EAAAI,,,,,,,,,,Economic Status,Economic Status,,In Employment,In Employment,,,,Age,Age,,50-64,50-64,,,,Sex,Sex,,Women,Women,,,,SA NSA,SA NSA,,Non Seasonal Adjusted,Non Seasonal Adjusted,,,
10.95,,People,,Percent,,,,,1,Rates,,,,,,,Feb-Apr 2019,Feb-Apr 2019,,Quarter,,Labour market status,Labour market status,,EAAAJ,,,,,,,,,,Economic Status,Economic Status,,In Employment,In Employment,,,,Age,Age,,65+,65+,,,,Sex,Sex,,People,People,,,,SA NSA,SA NSA,,Non Seasonal Adjusted,Non Seasonal Adjusted,,,
14.36,,People,,Percent,,,,,1,Rates,,,,,,,Feb-Apr 2019,Feb-Apr 2019,,Quarter,,Labour market status,Labour market status,,EAAAK,,,,,,,,,,Economic Status,Economic Status,,In Employment,In Employment,,,,Age,Age,,65+,65+,,,,Sex,Sex,,Men,Men,,,,SA NSA,SA NSA,,Non Seasonal Adjusted,Non Seasonal Adjusted,,,
8.02,,People,,Percent,,,,,1,Rates,,,,,,,Feb-Apr 2019,Feb-Apr 2019,,Quarter,,Labour market status,Labour market status,,EAAAL,,,,,,,,,,Economic Status,Economic Status,,In Employment,In Employment,,,,Age,Age,,65+,65+,,,,Sex,Sex,,Women,Women,,,,SA NSA,SA NSA,,Non Seasonal Adjusted,Non Seasonal Adjusted,,,
53.97,,People,,Percent,,,,,1,Rates,,,,,,,Feb-Apr 2019,Feb-Apr 2019,,Quarter,,Labour market status,Labour market status,,YCQY,,,,,,,,,,Economic Status,Economic Status,,In Employment,In Employment,,,,Age,Age,,16-24,16-24,,,,Sex,Sex,,People,People,,,,SA NSA,SA NSA,,Non Seasonal Adjusted,Non Seasonal Adjusted,,,
53.29,,People,,Percent,,,,,1,Rates,,,,,,,Feb-Apr 2019,Feb-Apr 2019,,Quarter,,Labour market status,Labour market status,,YCRB,,,,,,,,,,Economic Status,Economic Status,,In Employment,In Employment,,,,Age,Age,,16-24,16-24,,,,Sex,Sex,,Men,Men,,,,SA NSA,SA NSA,,Non Seasonal Adjusted,Non Seasonal Adjusted,,,
54.67,,People,,Percent,,,,,1,Rates,,,,,,,Feb-Apr 2019,Feb-Apr 2019,,Quarter,,Labour market status,Labour market status,,YCRE,,,,,,,,,,Economic Status,Economic Status,,In Employment,In Employment,,,,Age,Age,,16-24,16-24,,,,Sex,Sex,,Women,Women,,,,SA NSA,SA NSA,,Non Seasonal Adjusted,Non Seasonal Adjusted,,,
3.71,,People,,Percent,,,,,1,Rates,,,,,,,Feb-Apr 2019,Feb-Apr 2019,,Quarter,,Labour market status,Labour market status,,MGTP,,,,,,,,,,Economic Status,Economic Status,,Unemployed,Unemployed,,,,Age,Age,,16+,16+,,,,Sex,Sex,,People,People,,,,SA NSA,SA NSA,,Non Seasonal Adjusted,Non Seasonal Adjusted,,,
3.87,,People,,Percent,,,,,1,Rates,,,,,,,Feb-Apr 2019,Feb-Apr 2019,,Quarter,,Labour market status,Labour market status,,MGTQ,,,,,,,,,,Economic Status,Economic Status,,Unemployed,Unemployed,,,,Age,Age,,16+,16+,,,,Sex,Sex,,Men,Men,,,,SA NSA,SA NSA,,Non Seasonal Adjusted,Non Seasonal Adjusted,,,
3.53,,People,,Percent,,,,,1,Rates,,,,,,,Feb-Apr 2019,Feb-Apr 2019,,Quarter,,Labour market status,Labour market status,,MGTR,,,,,,,,,,Economic Status,Economic Status,,Unemployed,Unemployed,,,,Age,Age,,16+,16+,,,,Sex,Sex,,Women,Women,,,,SA NSA,SA NSA,,Non Seasonal Adjusted,Non Seasonal Adjusted,,,
3.81,,People,,Percent,,,,,1,Rates,,,,,,,Feb-Apr 2019,Feb-Apr 2019,,Quarter,,Labour market status,Labour market status,,YBST,,,,,,,,,,Economic Status,Economic Status,,Unemployed,Unemployed,,,,Age,Age,,16-64,16-64,,,,Sex,Sex,,People,People,,,,SA NSA,SA NSA,,Non Seasonal Adjusted,Non Seasonal Adjusted,,,
